Time , distance to gimi, less than 1 , between 1 and 2 , between 2 and 3 , isGimiVisable
9/3/2020 11:07:55 PM,0.8484232,1,0,0,0
9/3/2020 11:07:56 PM,0.8484232,1,0,0,0
9/3/2020 11:07:57 PM,0.8484232,1,0,0,0
9/3/2020 11:07:58 PM,0.8484232,1,0,0,0
9/3/2020 11:07:59 PM,1.179737,0,1,0,0
9/3/2020 11:08:00 PM,2.275957,0,0,1,0
9/3/2020 11:08:01 PM,2.296856,0,0,1,0
9/3/2020 11:08:02 PM,2.296856,0,0,1,0
9/3/2020 11:08:03 PM,2.296856,0,0,1,0
9/3/2020 11:08:04 PM,1.885493,0,1,0,0
9/3/2020 11:08:05 PM,0.8388432,1,0,0,0
9/3/2020 11:08:06 PM,0.7444178,1,0,0,0
9/3/2020 11:08:07 PM,0.7754108,1,0,0,0
9/3/2020 11:08:08 PM,1.52197,0,1,0,0
9/3/2020 11:08:09 PM,2.548131,0,0,1,0
9/3/2020 11:08:10 PM,3.183153,0,0,1,0
9/3/2020 11:08:11 PM,4.007157,0,0,1,0
9/3/2020 11:08:12 PM,2.279755,0,0,1,0
9/3/2020 11:08:13 PM,3.352944,0,0,1,0
9/3/2020 11:08:14 PM,2.088882,0,0,1,0
9/3/2020 11:08:16 PM,1.990533,0,1,0,0
9/3/2020 11:08:17 PM,1.783259,0,1,0,0
9/3/2020 11:08:18 PM,2.007345,0,0,1,0
9/3/2020 11:08:19 PM,3.126659,0,0,1,0
9/3/2020 11:08:20 PM,2.690519,0,0,1,0
9/3/2020 11:08:21 PM,2.02792,0,0,1,0
9/3/2020 11:08:22 PM,1.628013,0,1,0,0
9/3/2020 11:08:23 PM,1.895678,0,1,0,0
9/3/2020 11:08:24 PM,2.795759,0,0,1,0
9/3/2020 11:08:25 PM,3.179255,0,0,1,0
9/3/2020 11:08:26 PM,3.833121,0,0,1,0
9/3/2020 11:08:27 PM,2.792858,0,0,1,0
9/3/2020 11:08:28 PM,2.281654,0,0,1,0
9/3/2020 11:08:29 PM,2.281654,0,0,1,0
9/3/2020 11:08:30 PM,3.033276,0,0,1,0
9/3/2020 11:08:31 PM,3.098432,0,0,1,0
9/3/2020 11:08:32 PM,1.965355,0,1,0,0
9/3/2020 11:08:33 PM,1.965355,0,1,0,0
9/3/2020 11:08:34 PM,1.087409,0,1,0,0
9/3/2020 11:08:35 PM,0.8275154,1,0,0,0
9/3/2020 11:08:36 PM,1.99987,0,1,0,0
9/3/2020 11:08:37 PM,2.201087,0,0,1,0
9/3/2020 11:08:38 PM,1.61365,0,1,0,0
9/3/2020 11:08:39 PM,1.61365,0,1,0,0
9/3/2020 11:08:40 PM,1.61365,0,1,0,0
45,2.051102,0.1777778,0.3111111,0.5111111,0
